CCLASS|42|128|2|3|0
CCLASS|42|128|3|2|0
CCLASS|42|128|7|7|9
CCLASS|42|128|8|9|3
CCLASS|42|128|9|8|3
CCLASS|42|128|10|10|7
CCLASS|42|128|11|12|4
CCLASS|42|128|12|11|4
CCLASS|42|128|13|13|5
CCLASS|42|128|14|14|5
COMPLEX|42|129|15|0
CCLASS|42|129|2|3|0
CCLASS|42|129|3|2|0
CCLASS|42|129|7|7|9
CCLASS|42|129|8|9|3
CCLASS|42|129|9|8|3
CCLASS|42|129|10|10|7
CCLASS|42|129|11|12|4
CCLASS|42|129|12|11|4
CCLASS|42|129|13|13|5
CCLASS|42|129|14|14|5
COMPLEX|42|130|15|0
CCLASS|42|130|2|3|0
CCLASS|42|130|3|2|0
CCLASS|42|130|7|7|9
CCLASS|42|130|8|9|3
CCLASS|42|130|9|8|3
CCLASS|42|130|10|10|7
CCLASS|42|130|11|12|4
CCLASS|42|130|12|11|4
CCLASS|42|130|13|13|5
CCLASS|42|130|14|14|5
RATIONAL|42|32|30
RCLASS|42|32|2|3|0
RCLASS|42|32|3|2|0
RCLASS|42|32|7|7|18
RCLASS|42|32|8|9|6
RCLASS|42|32|9|8|6
RCLASS|42|32|10|10|14
RCLASS|42|32|11|12|8
RCLASS|42|32|12|11|8
RCLASS|42|32|13|13|10
RCLASS|42|32|14|14|10
RATIONAL|42|33|30
RCLASS|42|33|2|3|0
RCLASS|42|33|3|2|0
RCLASS|42|33|7|7|18
RCLASS|42|33|8|9|6
RCLASS|42|33|9|8|6
RCLASS|42|33|10|10|14
RCLASS|42|33|11|12|8
RCLASS|42|33|12|11|8
RCLASS|42|33|13|13|10
RCLASS|42|33|14|14|10
RATIONAL|42|92|30
RCLASS|42|92|2|3|0
RCLASS|42|92|3|2|0
RCLASS|42|92|7|7|18
RCLASS|42|92|8|9|6
RCLASS|42|92|9|8|6
RCLASS|42|92|10|10|14
RCLASS|42|92|11|12|8
RCLASS|42|92|12|11|8
RCLASS|42|92|13|13|10
RCLASS|42|92|14|14|10
RATIONAL|42|93|30
RCLASS|42|93|2|3|0
RCLASS|42|93|3|2|0
RCLASS|42|93|7|7|18
RCLASS|42|93|8|9|6
RCLASS|42|93|9|8|6
RCLASS|42|93|10|10|14
RCLASS|42|93|11|12|8
RCLASS|42|93|12|11|8
RCLASS|42|93|13|13|10
RCLASS|42|93|14|14|10
TABLE|43|2x6_1.U4(3).2_2|78382080|338
COMPLEX|43|64|15|0
CCLASS|43|64|3|5|0
CCLASS|43|64|5|3|0
CCLASS|43|64|13|13|9
CCLASS|43|64|15|17|3
CCLASS|43|64|17|15|3
CCLASS|43|64|19|19|7
CCLASS|43|64|21|23|4
CCLASS|43|64|23|21|4
CCLASS|43|64|25|25|5
CCLASS|43|64|27|27|5
COMPLEX|43|65|15|0
CCLASS|43|65|3|5|0
CCLASS|43|65|5|3|0
CCLASS|43|65|13|13|9
CCLASS|43|65|15|17|3
CCLASS|43|65|17|15|3
CCLASS|43|65|19|19|7
CCLASS|43|65|21|23|4
CCLASS|43|65|23|21|4
CCLASS|43|65|25|25|5
CCLASS|43|65|27|27|5
COMPLEX|43|66|15|0
CCLASS|43|66|3|5|0
CCLASS|43|66|5|3|0
CCLASS|43|66|13|13|9
CCLASS|43|66|15|17|3
CCLASS|43|66|17|15|3
CCLASS|43|66|19|19|7
CCLASS|43|66|21|23|4
CCLASS|43|66|23|21|4
CCLASS|43|66|25|25|5
CCLASS|43|66|27|27|5
COMPLEX|43|67|15|0
CCLASS|43|67|3|5|0
CCLASS|43|67|5|3|0
CCLASS|43|67|13|13|9
CCLASS|43|67|15|17|3
CCLASS|43|67|17|15|3
CCLASS|43|67|19|19|7
CCLASS|43|67|21|23|4
CCLASS|43|67|23|21|4
CCLASS|43|67|25|25|5
CCLASS|43|67|27|27|5
COMPLEX|43|233|15|0
CCLASS|43|233|3|5|0
CCLASS|43|233|5|3|0
CCLASS|43|233|13|13|9
CCLASS|43|233|15|17|3
CCLASS|43|233|17|15|3
CCLASS|43|233|19|19|7
CCLASS|43|233|21|23|4
CCLASS|43|233|23|21|4
CCLASS|43|233|25|25|5
CCLASS|43|233|27|27|5
COMPLEX|43|234|15|0
CCLASS|43|234|3|5|0
CCLASS|43|234|5|3|0
CCLASS|43|234|13|13|9
CCLASS|43|234|15|17|3
CCLASS|43|234|17|15|3
CCLASS|43|234|19|19|7
CCLASS|43|234|21|23|4
CCLASS|43|234|23|21|4
CCLASS|43|234|25|25|5
CCLASS|43|234|27|27|5
COMPLEX|43|235|15|0
CCLASS|43|235|3|5|0
CCLASS|43|235|5|3|0
CCLASS|43|235|13|13|9
CCLASS|43|235|15|17|3
CCLASS|43|235|17|15|3
CCLASS|43|235|19|19|7
CCLASS|43|235|21|23|4
CCLASS|43|235|23|21|4
CCLASS|43|235|25|25|5
CCLASS|43|235|27|27|5
COMPLEX|43|236|15|0
CCLASS|43|236|3|5|0
CCLASS|43|236|5|3|0
CCLASS|43|236|13|13|9
CCLASS|43|236|15|17|3
CCLASS|43|236|17|15|3
CCLASS|43|236|19|19|7
CCLASS|43|236|21|23|4
CCLASS|43|236|23|21|4
CCLASS|43|236|25|25|5
CCLASS|43|236|27|27|5
RATIONAL|43|57|30
RCLASS|43|57|3|5|0
RCLASS|43|57|5|3|0
RCLASS|43|57|13|13|18
RCLASS|43|57|15|17|6
RCLASS|43|57|17|15|6
RCLASS|43|57|19|19|14
RCLASS|43|57|21|23|8
RCLASS|43|57|23|21|8
RCLASS|43|57|25|25|10
RCLASS|43|57|27|27|10
RATIONAL|43|58|30
RCLASS|43|58|3|5|0
RCLASS|43|58|5|3|0
RCLASS|43|58|13|13|18
RCLASS|43|58|15|17|6
RCLASS|43|58|17|15|6
RCLASS|43|58|19|19|14
RCLASS|43|58|21|23|8
RCLASS|43|58|23|21|8
RCLASS|43|58|25|25|10
RCLASS|43|58|27|27|10
RATIONAL|43|166|30
RCLASS|43|166|3|5|0
RCLASS|43|166|5|3|0
RCLASS|43|166|13|13|18
RCLASS|43|166|15|17|6
RCLASS|43|166|17|15|6
